source,target
I wanted to befriend the man but a mouse stopped me,me stopped mouse a but man the befriend to wanted I
I wonder why the man loves to befriend the mouse,mouse the befriend to loves man the why wonder I
The man celebrates the mouse,mouse the celebrates man The
Please tell the man and the mouse to celebrate me,me celebrate to mouse the and man the tell Please
Do not celebrate the man or the mouse,mouse the or man the celebrate not Do
I wanted to celebrate the man but a mouse stopped me,me stopped mouse a but man the celebrate to wanted I
I wonder why the man loves to celebrate the mouse,mouse the celebrate to loves man the why wonder I
The man swordfights the mouse,mouse the swordfights man The
Please tell the man and the mouse to swordfight me,me swordfight to mouse the and man the tell Please
Do not swordfight the man or the mouse,mouse the or man the swordfight not Do
I wanted to swordfight the man but a mouse stopped me,me stopped mouse a but man the swordfight to wanted I
I wonder why the man loves to swordfight the mouse,mouse the swordfight to loves man the why wonder I
The man questions the mouse,mouse the questions man The
Please tell the man and the mouse to question me,me question to mouse the and man the tell Please
Do not question the man or the mouse,mouse the or man the question not Do
I wanted to question the man but a mouse stopped me,me stopped mouse a but man the question to wanted I
I wonder why the man loves to question the mouse,mouse the question to loves man the why wonder I
The man serenades the mouse,mouse the serenades man The
Please tell the man and the mouse to serenade me,me serenade to mouse the and man the tell Please
Do not serenade the man or the mouse,mouse the or man the serenade not Do
I wanted to serenade the man but a mouse stopped me,me stopped mouse a but man the serenade to wanted I
I wonder why the man loves to serenade the mouse,mouse the serenade to loves man the why wonder I
The man bites the mouse,mouse the bites man The
Please tell the man and the mouse to bite me,me bite to mouse the and man the tell Please
Do not bite the man or the mouse,mouse the or man the bite not Do
I wanted to bite the man but a mouse stopped me,me stopped mouse a but man the bite to wanted I
I wonder why the man loves to bite the mouse,mouse the bite to loves man the why wonder I
The man hugs the mouse,mouse the hugs man The
Please tell the man and the mouse to hug me,me hug to mouse the and man the tell Please
Do not hug the man or the mouse,mouse the or man the hug not Do
I wanted to hug the man but a mouse stopped me,me stopped mouse a but man the hug to wanted I
I wonder why the man loves to hug the mouse,mouse the hug to loves man the why wonder I
The man defends the mouse,mouse the defends man The
Please tell the man and the mouse to defend me,me defend to mouse the and man the tell Please
Do not defend the man or the mouse,mouse the or man the defend not Do
I wanted to defend the man but a mouse stopped me,me stopped mouse a but man the defend to wanted I
I wonder why the man loves to defend the mouse,mouse the defend to loves man the why wonder I
The man saves the mouse,mouse the saves man The
Please tell the man and the mouse to save me,me save to mouse the and man the tell Please
Do not save the man or the mouse,mouse the or man the save not Do
I wanted to save the man but a mouse stopped me,me stopped mouse a but man the save to wanted I
I wonder why the man loves to save the mouse,mouse the save to loves man the why wonder I
The man paints the mouse,mouse the paints man The
Please tell the man and the mouse to paint me,me paint to mouse the and man the tell Please
Do not paint the man or the mouse,mouse the or man the paint not Do
I wanted to paint the man but a mouse stopped me,me stopped mouse a but man the paint to wanted I
I wonder why the man loves to paint the mouse,mouse the paint to loves man the why wonder I
The man illustrates the mouse,mouse the illustrates man The
Please tell the man and the mouse to illustrate me,me illustrate to mouse the and man the tell Please
Do not illustrate the man or the mouse,mouse the or man the illustrate not Do
I wanted to illustrate the man but a mouse stopped me,me stopped mouse a but man the illustrate to wanted I
I wonder why the man loves to illustrate the mouse,mouse the illustrate to loves man the why wonder I
The man meets the man,man the meets man The
Please tell the man and the man to meet me,me meet to man the and man the tell Please
Do not meet the man or the man,man the or man the meet not Do
I wanted to meet the man but a man stopped me,me stopped man a but man the meet to wanted I
I wonder why the man loves to meet the man,man the meet to loves man the why wonder I
The man likes the man,man the likes man The
Please tell the man and the man to like me,me like to man the and man the tell Please
Do not like the man or the man,man the or man the like not Do
I wanted to like the man but a man stopped me,me stopped man a but man the like to wanted I
I wonder why the man loves to like the man,man the like to loves man the why wonder I
The man dislikes the man,man the dislikes man The
Please tell the man and the man to dislike me,me dislike to man the and man the tell Please
Do not dislike the man or the man,man the or man the dislike not Do
I wanted to dislike the man but a man stopped me,me stopped man a but man the dislike to wanted I
I wonder why the man loves to dislike the man,man the dislike to loves man the why wonder I
The man challenges the man,man the challenges man The
Please tell the man and the man to challenge me,me challenge to man the and man the tell Please
Do not challenge the man or the man,man the or man the challenge not Do
I wanted to challenge the man but a man stopped me,me stopped man a but man the challenge to wanted I
I wonder why the man loves to challenge the man,man the challenge to loves man the why wonder I
The man befriends the man,man the befriends man The
Please tell the man and the man to befriend me,me befriend to man the and man the tell Please
Do not befriend the man or the man,man the or man the befriend not Do
I wanted to befriend the man but a man stopped me,me stopped man a but man the befriend to wanted I
I wonder why the man loves to befriend the man,man the befriend to loves man the why wonder I
The man celebrates the man,man the celebrates man The
Please tell the man and the man to celebrate me,me celebrate to man the and man the tell Please
Do not celebrate the man or the man,man the or man the celebrate not Do
I wanted to celebrate the man but a man stopped me,me stopped man a but man the celebrate to wanted I
I wonder why the man loves to celebrate the man,man the celebrate to loves man the why wonder I
The man swordfights the man,man the swordfights man The
Please tell the man and the man to swordfight me,me swordfight to man the and man the tell Please
Do not swordfight the man or the man,man the or man the swordfight not Do
I wanted to swordfight the man but a man stopped me,me stopped man a but man the swordfight to wanted I
